iter	Passed	Remaining
0	109	109185
1	140	70160
2	167	55509
3	190	47423
4	208	41431
5	226	37532
6	244	34652
7	260	32260
8	276	30446
9	292	28909
10	307	27602
11	321	26465
12	337	25590
13	354	24937
14	370	24351
15	387	23804
16	402	23301
17	415	22694
18	429	22178
19	446	21854
20	459	21440
21	475	21154
22	490	20822
23	503	20480
24	516	20154
25	530	19869
26	543	19577
27	556	19335
28	570	19093
29	583	18870
30	597	18671
31	609	18438
32	622	18238
33	635	18052
34	649	17894
35	662	17749
36	676	17613
37	690	17474
38	703	17332
39	716	17195
40	729	17072
41	743	16949
42	756	16828
43	769	16714
44	783	16621
45	797	16545
46	811	16445
47	827	16410
48	841	16333
49	855	16251
50	869	16170
51	882	16087
52	895	16007
53	909	15927
54	922	15849
55	935	15775
56	949	15708
57	964	15657
58	979	15620
59	993	15570
60	1007	15508
61	1022	15475
62	1036	15417
63	1049	15352
64	1063	15301
65	1077	15249
66	1090	15181
67	1103	15128
68	1117	15074
69	1130	15024
70	1145	14983
71	1158	14936
72	1175	14921
73	1189	14889
74	1208	14900
75	1224	14888
76	1240	14868
77	1254	14829
78	1268	14785
79	1281	14738
80	1294	14686
81	1308	14653
82	1322	14607
83	1334	14556
84	1349	14523
85	1361	14470
86	1374	14426
87	1387	14377
88	1401	14343
89	1415	14311
90	1430	14286
91	1442	14240
92	1455	14198
93	1469	14161
94	1481	14112
95	1494	14073
96	1507	14034
97	1520	13996
98	1534	13961
99	1547	13927
100	1560	13893
101	1574	13861
102	1587	13827
103	1603	13817
104	1618	13793
105	1632	13768
106	1645	13736
107	1659	13705
108	1673	13678
109	1686	13645
110	1699	13614
111	1712	13579
112	1725	13544
113	1739	13518
114	1752	13488
115	1765	13456
116	1779	13429
117	1791	13388
118	1805	13365
119	1818	13332
120	1831	13307
121	1845	13280
122	1858	13250
123	1871	13218
124	1885	13198
125	1898	13167
126	1912	13143
127	1925	13117
128	1939	13092
129	1951	13061
130	1965	13035
131	1980	13022
132	1995	13006
133	2008	12977
134	2021	12955
135	2035	12933
136	2049	12911
137	2062	12883
138	2076	12860
139	2089	12836
140	2105	12824
141	2119	12804
142	2133	12785
143	2147	12764
144	2162	12752
145	2175	12727
146	2189	12707
147	2204	12692
148	2218	12671
149	2232	12651
150	2248	12641
151	2262	12622
152	2275	12598
153	2290	12583
154	2304	12561
155	2316	12534
156	2328	12504
157	2344	12492
158	2360	12485
159	2378	12486
160	2396	12489
161	2413	12486
162	2429	12473
163	2444	12459
164	2461	12456
165	2476	12443
166	2496	12453
167	2513	12447
168	2528	12435
169	2542	12415
170	2556	12393
